Year;Author;Title;date;auteur;titre;canon;Author gender;Illustrations
1876;Gouraud Julie ;Les Quatre pièces d'or;1876;gouraud julie;les quatre pièces d'or;non_canon;female;Yes
1877;Bruno G.;Le Tour de la France par deux enfants;;;;;female;
1877;Fleuriot Zenaide ;Un enfant gâté;1877;fleuriot zenaide;un enfant gate;non_canon;female;Yes
1878;Assolant Alfred;Le plus hardi des gueux;1878;assollant alfred;le plus hardi des gueux;non_canon;male;
1878;Berthet Elie;Les Petits écoliers dans les cinq parties du monde;1878;berthet elie;les petits ecoliers dans les cinq parties du monde;non_canon;male;Yes
1878;Chavannes de La Giraudiere;Hippolyte de Patrice;1878;chavannes de la giraudiere hippolyte de;patrice;non_canon;male;
1878;Dupuis Eudoxie;Cyprienne et Cyprien;1878;dupuis eudoxie;cyprienne et cyprien;non_canon;female;
1878;Girardin Jules;Ouida: Pascarel roman imite de l’anglais;1878;girardin jules;ouida pascarel roman imite de l anglais;non_canon;male;
1878;Gouraud Julie ;Cousine Marie;1878;gouraud julie;cousine marie;non_canon;female;Yes
1880;Fleuriot Zenaide ;Bonasse;1880;fleuriot zenaide;bonasse;non_canon;female;
1880;Fleuriot Zenaide ;Tranquille et Tourbillon;1880;fleuriot zenaide;tranquille et tourbillon;non_canon;female;Yes
1880;Gouraud Julie ;Aller et retour;1880;gouraud julie;aller et retour;non_canon;female;Yes
1880;Gozlan Leon;Aventures merveilleuses et touchantes du prince Chenevis et de sa jeune soeur;1880;gozlan leon;aventures merveilleuses et touchantes du prince chenevis et de sa jeune soeur;non_canon;male;Yes
1880;Martignat Mll de;Mlle de L’Oncle Boni;1880;martignat mlle de;l oncle boni;non_canon;female;Yes
1881;Colomb Josephine;Feu de paille;1881;colomb josephine;feu de paille;non_canon;female;Yes
1881;Erckmann Chatrian;Les Vieux de la Vieille Justine et Lucien.;1881;erckmann chatrian;les vieux de la vieille justine et lucien.;non_canon;male;Yes
1881;Fleuriot Zenaide ;Alberte;1881;fleuriot zenaide;alberte;non_canon;female;
1881;Laurie Andre;Mémoires d’un collégien;1881;laurie andre;memoires d un collegien;non_canon;male;Yes
1881;Martignat Mll de;Mlle de Ginette;1881;martignat mlle de;ginette;non_canon;female;Yes
1881;Stolz Madame de;Les deux reines;1881;stolz madame de;les deux reines;non_canon;female;Yes
1882;Fleuriot Zenaide ;Bouche en coeur;1882;fleuriot zenaide;bouche en coeur;non_canon;female;Yes
1882;Gouraud Julie ;Chez grand-mère;1882;gouraud julie;chez grand mere;non_canon;female;Yes
1883;Halt Marie Robert;Histoire d’un petit homme;1883;halt marie robert;histoire d un petit homme;non_canon;female;Yes
1884;Gouraud Julie ;Le Vieux château;1884;gouraud julie;le vieux chateau;non_canon;female;Yes
1884;Laurie Andre;L’Heritier de Robinson;1884;laurie andre;l heritier de robinson;non_canon;female;Yes
1885;Amero Constant;Le tour de France d’un petit Parisien;1885;amero constant;le tour de france d un petit parisien;non_canon;male;Yes
1885;Bazin Rene;Ma tante Giron;1885;bazin rene;ma tante giron;non_canon;male;
1885;Malot Hector;Romain Kalbris;1885;malot hector;romain kalbris;non_canon;male;Yes
1886;Lemonnier Camille;Les joujoux parlants;1886;lemonnier camille;les joujoux parlants;non_canon;male;Yes
1886;Sand George ;Les ailes de courage;1886;sand george;les ailes de courage;canon;female;
1887;Malot Hector;Sans famille;;;;;;Yes
1887;Soboleska Mme;Les Jeunes filles de Quinnebasset;1887;soboleska mme;les jeunes filles de quinnebasset;non_canon;female;
1888;Blandy Stella;L’Oncle Philibert;1888;blandy stella;l oncle philibert;non_canon;female;Yes
1888;Gouraud Julie;Quand je serai grande;1888;gouraud julie;quand je serai grande;non_canon;female;Yes
1888;Stolz Madame de;Violence et bonté;1888;stolz madame de;violence et bonte;non_canon;female;Yes
1889;Dombre Roger;Folla;1889;dombre roger;folla;non_canon;female;
1889;La Brete Jean de;Mon oncle et mon curé;1889;la brete jean de;mon oncle et mon cure;non_canon;female;Yes
1890;Dombre Roger;La Nounou;1890;dombre roger;la nounou;non_canon;female;
1890;Dombre Roger;Une pupille genante;1890;dombre roger;une pupille genante;non_canon;female;
1890;Hameau Louise;Mademoiselle Pourquoi;1890;hameau louise;mademoiselle pourquoi;non_canon;female;Yes (in colors)
1890;Pitray Olga de Segur;Voyages abracadabrants du gros Phileas;1890;pitray olga de segur;voyages abracadabrants du gros phileas;non_canon;female;Yes
1891;Pitray Olga de Segur;L’Usine et le château;1891;pitray olga de segur;l usine et le chateau;non_canon;female;Yes
1891;Witt Henriette de;La Petite fille aux grand-mères;1891;witt henriette de;la petite fille aux grand meres;non_canon;female;Yes
1892;Colomb Josephine;Les Conquêtes d’Hermine;1892;colomb josephine;les conquetes d hermine;non_canon;female;Yes
1892;Stolz Madame de;La famille Coquelicot;1892;stolz madame de;la famille coquelicot;non_canon;female;Yes
1892;Malot Hector;En Famille;1893;malot hector;en famille;non_canon;male;Yes
1893;Delorme Marie;Les Filles du clown;1893;marie delorme;les filles du clown;non_canon;female;Yes
1893;Vadier Berthe;Rose et Rosette odyssée d une trop belle poupée;1893;vadier berthe;rose et rosette odyssee d une trop belle poupee;non_canon;female;Yes
1894;Gautier Judith;Mémoires d’un Éléphant blanc;1894;gautier judith;memoires d un elephant blanc;non_canon;female;Yes (wikisource)
1895;Mael Pierre;Les Derniers Hommes rouge;;;;;;
1896;Gyp;Bijou;1896;gyp;bijou;non_canon;female; 
1896;Soboleska Mme;Siribeddi mémoires d’un éléphant;1896;soboleska mme;siribeddi memoires d un elephant;non_canon;female;Yes
1897;Gerald Montmeril;Chryseis au désert;1897;gerald montmeril;chryseis au desert;non_canon;female;Yes
1897;Mael Pierre;Au pays du mystère;1897;mael pierre;au pays du mystere;non_canon;male;Yes
1897;Margueritte Victor;Victor Poum (aventures d un petit garçon);1922;margueritte victor;poum;non_canon;male;Yes
1899;Colomb Josephine;Chloris et Jeanneton;1899;colomb josephine;chloris et jeanneton;non_canon;female;Yes
1900;Chabrier Rieder Charlotte ;Les épreuves de Charlotte;1900;chabrier rieder charlotte;les epreuves de charlotte;non_canon;female;Yes
1901;Mael Pierre;Un mousse de Surcouf;1901;mael pierre;un mousse de surcouf;non_canon;male;
1901;Soboleska Mme;Les Bonnes idées de Mlle Rose Les Enfants au ballon élastique;1901;soboleska mme;les bonnes idees de mlle rose;non_canon;female;
1903;Chabrier Rieder;Les Enfants du Luxembourg;1903;chabrier rieder charlotte;les enfants du luxembourg;non_canon;female;Yes
1905;Toulet Paul Jean;Mon amie Nane;1905;toulet paul jean;mon amie nane;non_canon;male;
1906;Morin Louis;Grand-mère avait des défauts ;1906;morin louis;grand mere avait des defauts ;non_canon;male;Yes
1907;Mael Pierre;Le Forban noir;1907;mael pierre;le forban noir;non_canon;male;Yes
1910;Cim Albert;Le petit Léveillé;1910;cim albert;le petit leveille;non_canon;male;Yes
1910;Graffigny H de;Le tour de France en aeroplane;1910;graffigny h de;le tour de france en aeroplane;non_canon;male;
1911;Marchal Gustave;Tante Meteore;1911;marchal gustave;tante meteore;non_canon;male;Yes
1925;Robida Albert;Un chalet dans les airs;1925;robida albert;un chalet dans les airs;non_canon;male;Yes
1926;Mac Orlan;Les clients du Bon Chien Jaune;1926;mac orlan pierre;les clients du bon chien jaune;canon;male;
1930;Genestoux Magdaleine du;Mademoiselle trouble fete;1930;genestoux magdeleine du;mademoiselle trouble fete;non_canon;female;
1943;Saint Exupery Antoine;Le petit prince;1943;saint exupery antoine de;le petit prince;canon;male;
;;Loi du 16 juillet 1949 sur les publications destinées à la jeunesse;;;;;;
