subfolder,filename,characters_full,characters_partial,faces_position_fine_full,faces_position_fine_partial,faces_position_agg_full,faces_position_agg_partial,social_class_fine_full,social_class_fine_partial,social_class_agg_full,social_class_agg_partial,toy_full,toy_partial,scene_setting_exact,emotional_intensity_exact,emotional_intensity_tol1
1865_Les_aventures_de_Jean-Paul_Choppart,pg_77_img_1.jpg,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1891_Les_joujoux_parlants,pg_83_img_1.jpg,0.5,0.5,0.5,0.5,0.5,0.5,0.0,,0.0,,1.0,1.0,0.5,0.5,1.0
1860_Memoire_d_un_ane,Ane_7.jpg,0.4017857142857143,1.0,0.26785714285714285,0.2857142857142857,0.45535714285714285,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0
1860_Memoire_d_un_ane,Ane_18.jpg,0.7,0.9,0.55,0.6,0.65,0.8,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0
1860_Memoire_d_un_ane,Ane_14.jpg,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0
1865_Les_aventures_de_Jean-Paul_Choppart,pg_153_img_1.jpg,1.0,0.75,0.75,0.5,1.0,0.75,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5
1865_Les_aventures_de_Jean-Paul_Choppart,pg_276_img_1.jpg,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,,0.0,,1.0,1.0,1.0,0.5,1.0
1865_Les_aventures_de_Jean-Paul_Choppart,pg_193_img_1.jpg,0.9285714285714286,0.9285714285714286,0.5714285714285714,0.5714285714285714,0.7142857142857142,0.7142857142857142,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,1.0,1.0,0.0,0.5,1.0
1865_Les_aventures_de_Jean-Paul_Choppart,pg_235_img_1.jpg,0.41666666666666663,0.75,0.375,0.5,0.75,1.0,0.16666666666666666,0.5,0.16666666666666666,0.5,1.0,1.0,0.5,0.5,1.0
1865_Les_aventures_de_Jean-Paul_Choppart,pg_168_img_2.jpg,0.5625,0.75,0.5,0.5,0.625,1.0,0.625,1.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0
1865_Les_aventures_de_Jean-Paul_Choppart,pg_210_img_1.jpg,0.5,1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
1860_Memoire_d_un_ane,Ane_10.jpg,1.0,1.0,0.8,0.5714285714285714,0.8,0.5714285714285714,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1865_Les_aventures_de_Jean-Paul_Choppart,pg_279_img_1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0
1865_Les_aventures_de_Jean-Paul_Choppart,pg_248_img_1.jpg,0.1111111111111111,0.5,0.2222222222222222,1.0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1891_Les_joujoux_parlants,pg_141_img_1.jpg,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1891_Les_joujoux_parlants,pg_95_img_1.jpg,0.75,0.75,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0
1891_Les_joujoux_parlants,pg_99_img_1.jpg,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666,0.8,0.0,0.0,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,1.0
1860_Memoire_d_un_ane,Ane_5.jpg,0.2,0.5,0.2,0.5,0.3,0.75,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
1860_Memoire_d_un_ane,Ane_1.jpg,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.2,0.2,0.2,0.2,1.0,1.0,1.0,0.0,1.0
1865_Les_aventures_de_Jean-Paul_Choppart,pg_74_img_1.jpg,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
