filename,year,topic,top_words
1864_Ribelle-Charles-de_Les-Confidences-de-Gribouille.txt,1864,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1865_Kaempfen-Albert_La-Tasse-a-the.txt,1865,6,"orme, âne, coeur, capitaine, soeur, voleur, tante, comtesse, curé, mademoisell, poupée, tasse, louve, vaisseau, couteau, commandant, punir, gendarme, mlle, corsaire"
1866_Segur-comtesse-de_Un-Bon-Petit-Diable.txt,1866,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1866_Muller-Rene_Les-Enfants-gates.txt,1866,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1866_Gouraud-Julie_Mémoires-d'un-caniche.txt,1866,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1866_Segur-comtesse-de_Jean-qui-grogne-et-Jean-qui-rit.txt,1866,6,"orme, âne, coeur, capitaine, soeur, voleur, tante, comtesse, curé, mademoisell, poupée, tasse, louve, vaisseau, couteau, commandant, punir, gendarme, mlle, corsaire"
1867_Gouraud-Julie_Le-petit-colporteur.txt,1867,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1867_Houssaye-Arsene_La-Pantoufle-de-Cendrillon-ou-Suzanne-aux-coquelicots.txt,1867,3,"poupée, baron, princesse, baronne, moulin, bergère, mlle, jouet, tailleur, artiste, lune, prince, valet, soulier, fée, neige, portrait, fermier, meunier, marchand"
1867_Marcel-Jeanne_Les-petits-vagabonds.txt,1867,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1867_Pressense-Elise-de_Deux-ans-au-lycee.txt,1867,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1867_Sauquet-Victor_L-Enfant-des-montagnes.txt,1867,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries.txt,1867,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1867_Savigny-Laurence-de_Le-Robinson-des-Alpes.txt,1867,9,"colonel, baronne, navire, montagne, commandant, canot, officier, marin, bateau, île, matelot, fleuve, pont, région, vallée, côte, nord, colonne, équipage, sable"
1868_Gouraud-Julie_L-Enfant-du-guide.txt,1868,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere.txt,1869,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1872_Gouraud-Julie_Le-Livre-de-maman.txt,1872,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1873_Sannois-Comtesse-de_Les-Soirees-a-la-maison.txt,1873,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1873_Pressense-Elise-de_Un-petit-monde-d-enfants.txt,1873,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1873_Viollet-le-Duc-Eugene-Emmanuel_Histoire-d-une-maison.txt,1873,8,"mètre, ouvrier, construction, kilomètre, tante, siècle, aérien, plan, appareil, île, usine, patron, machine, pilote, dirigeable, ingénieur, étage, docteur, moteur, terrain"
1873_Gouraud-Julie_Petite-et-grande.txt,1873,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1874_Witt-Henriette-de_Une-soeur.txt,1874,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1874_Colomb-Josephine_Comtes.txt,1874,3,"poupée, baron, princesse, baronne, moulin, bergère, mlle, jouet, tailleur, artiste, lune, prince, valet, soulier, fée, neige, portrait, fermier, meunier, marchand"
