title,text_id,char_id,char_name,type,Gender
1890_Dombre-Roger_La-Nounou.book --- nounou,1890_Dombre-Roger_La-Nounou,3,nounou,,
1890_Dombre-Roger_La-Nounou.book --- marie,1890_Dombre-Roger_La-Nounou,4,marie,,
1867_Marcel-Jeanne_Les-petits-vagabonds.book --- césar et aimée,1867_Marcel-Jeanne_Les-petits-vagabonds,0,césar et aimée,,
1867_Marcel-Jeanne_Les-petits-vagabonds.book --- sabin,1867_Marcel-Jeanne_Les-petits-vagabonds,1,sabin,,
1867_Marcel-Jeanne_Les-petits-vagabonds.book --- balthasar,1867_Marcel-Jeanne_Les-petits-vagabonds,2,balthasar,,
1867_Marcel-Jeanne_Les-petits-vagabonds.book --- césar,1867_Marcel-Jeanne_Les-petits-vagabonds,3,césar,,
1867_Marcel-Jeanne_Les-petits-vagabonds.book --- les incendiaires de villeneuve-le-roi,1867_Marcel-Jeanne_Les-petits-vagabonds,4,les incendiaires de villeneuve-le-roi,,
1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere.book --- mme moreau,1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere,0,mme moreau,,
1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere.book --- ernest,1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere,1,ernest,,
1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere.book --- sarah,1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere,2,sarah,,
1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere.book --- lucile,1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere,3,lucile,,
1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere.book --- oscar,1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere,4,oscar,,
1854_Dumas-Alexandre_La-jeunesse-de-Pierrot.book --- pierrot,1854_Dumas-Alexandre_La-jeunesse-de-Pierrot,0,pierrot,,
1854_Dumas-Alexandre_La-jeunesse-de-Pierrot.book --- roi de bohême,1854_Dumas-Alexandre_La-jeunesse-de-Pierrot,1,roi de bohême,,
1854_Dumas-Alexandre_La-jeunesse-de-Pierrot.book --- fleur - d' amandier,1854_Dumas-Alexandre_La-jeunesse-de-Pierrot,2,fleur - d' amandier,,
1854_Dumas-Alexandre_La-jeunesse-de-Pierrot.book --- le prince azor,1854_Dumas-Alexandre_La-jeunesse-de-Pierrot,3,le prince azor,,
1854_Dumas-Alexandre_La-jeunesse-de-Pierrot.book --- roi de bohême,1854_Dumas-Alexandre_La-jeunesse-de-Pierrot,4,roi de bohême,,
1863_Segur-comtesse-de_Les-deux-nigauds.book --- innocent,1863_Segur-comtesse-de_Les-deux-nigauds,0,innocent,,
1863_Segur-comtesse-de_Les-deux-nigauds.book --- coz,1863_Segur-comtesse-de_Les-deux-nigauds,1,coz,,
1863_Segur-comtesse-de_Les-deux-nigauds.book --- mme bonbeck,1863_Segur-comtesse-de_Les-deux-nigauds,2,mme bonbeck,,
1863_Segur-comtesse-de_Les-deux-nigauds.book --- simplicie,1863_Segur-comtesse-de_Les-deux-nigauds,3,simplicie,,
1863_Segur-comtesse-de_Les-deux-nigauds.book --- prudence,1863_Segur-comtesse-de_Les-deux-nigauds,4,prudence,,
1866_Gouraud-Julie_Mémoires-d'un-caniche.book --- césar,1866_Gouraud-Julie_Mémoires-d'un-caniche,0,césar,,
1866_Gouraud-Julie_Mémoires-d'un-caniche.book --- henriette,1866_Gouraud-Julie_Mémoires-d'un-caniche,1,henriette,,
1866_Gouraud-Julie_Mémoires-d'un-caniche.book --- andré,1866_Gouraud-Julie_Mémoires-d'un-caniche,2,andré,,
1866_Gouraud-Julie_Mémoires-d'un-caniche.book --- m. nelville,1866_Gouraud-Julie_Mémoires-d'un-caniche,3,m. nelville,,
1866_Gouraud-Julie_Mémoires-d'un-caniche.book --- jacques,1866_Gouraud-Julie_Mémoires-d'un-caniche,4,jacques,,
1884_Laurie-Andre_L-Heritier-de-Robinson.book --- m. gloaguen,1884_Laurie-Andre_L-Heritier-de-Robinson,0,m. gloaguen,,
1884_Laurie-Andre_L-Heritier-de-Robinson.book --- chandos,1884_Laurie-Andre_L-Heritier-de-Robinson,1,chandos,,
1884_Laurie-Andre_L-Heritier-de-Robinson.book --- robinson,1884_Laurie-Andre_L-Heritier-de-Robinson,2,robinson,,
1884_Laurie-Andre_L-Heritier-de-Robinson.book --- to - ho,1884_Laurie-Andre_L-Heritier-de-Robinson,3,to - ho,,
1884_Laurie-Andre_L-Heritier-de-Robinson.book --- paul - louis,1884_Laurie-Andre_L-Heritier-de-Robinson,4,paul - louis,,
1890_Pitray-Olga-de-Segur_Voyages-abracadabrants-du-gros-Phileas.book --- philéas,1890_Pitray-Olga-de-Segur_Voyages-abracadabrants-du-gros-Phileas,0,philéas,,
1890_Pitray-Olga-de-Segur_Voyages-abracadabrants-du-gros-Phileas.book --- saindoux,1890_Pitray-Olga-de-Segur_Voyages-abracadabrants-du-gros-Phileas,1,saindoux,,
1890_Pitray-Olga-de-Segur_Voyages-abracadabrants-du-gros-Phileas.book --- sagababa,1890_Pitray-Olga-de-Segur_Voyages-abracadabrants-du-gros-Phileas,2,sagababa,,
1890_Pitray-Olga-de-Segur_Voyages-abracadabrants-du-gros-Phileas.book --- polyphème,1890_Pitray-Olga-de-Segur_Voyages-abracadabrants-du-gros-Phileas,3,polyphème,,
1890_Pitray-Olga-de-Segur_Voyages-abracadabrants-du-gros-Phileas.book --- m. de marsy,1890_Pitray-Olga-de-Segur_Voyages-abracadabrants-du-gros-Phileas,4,m. de marsy,,
1888_Stolz-Madame-de_Violence-et-bonte.book --- robert,1888_Stolz-Madame-de_Violence-et-bonte,0,robert,,
1888_Stolz-Madame-de_Violence-et-bonte.book --- mme d' embrun,1888_Stolz-Madame-de_Violence-et-bonte,1,mme d' embrun,,
1888_Stolz-Madame-de_Violence-et-bonte.book --- corentine,1888_Stolz-Madame-de_Violence-et-bonte,2,corentine,,
1888_Stolz-Madame-de_Violence-et-bonte.book --- mlle trépiez,1888_Stolz-Madame-de_Violence-et-bonte,3,mlle trépiez,,
1888_Stolz-Madame-de_Violence-et-bonte.book --- le colonel d' evian,1888_Stolz-Madame-de_Violence-et-bonte,4,le colonel d' evian,,
1886_Lemonnier-Camille_Les-joujoux-parlants.book --- m. chat,1886_Lemonnier-Camille_Les-joujoux-parlants,0,m. chat,,
1886_Lemonnier-Camille_Les-joujoux-parlants.book --- mme chat,1886_Lemonnier-Camille_Les-joujoux-parlants,1,mme chat,,
1886_Lemonnier-Camille_Les-joujoux-parlants.book --- m. et mme chat,1886_Lemonnier-Camille_Les-joujoux-parlants,2,m. et mme chat,,
1886_Lemonnier-Camille_Les-joujoux-parlants.book --- midja,1886_Lemonnier-Camille_Les-joujoux-parlants,3,midja,,
1886_Lemonnier-Camille_Les-joujoux-parlants.book --- char4,1886_Lemonnier-Camille_Les-joujoux-parlants,4,char4,,
1877_Fleuriot-Zenaide_Un-enfant-gate.book --- léopold,1877_Fleuriot-Zenaide_Un-enfant-gate,0,léopold,,
1877_Fleuriot-Zenaide_Un-enfant-gate.book --- mme massereau,1877_Fleuriot-Zenaide_Un-enfant-gate,1,mme massereau,,
1877_Fleuriot-Zenaide_Un-enfant-gate.book --- m. massereau,1877_Fleuriot-Zenaide_Un-enfant-gate,2,m. massereau,,
1877_Fleuriot-Zenaide_Un-enfant-gate.book --- le colonel dauvellec,1877_Fleuriot-Zenaide_Un-enfant-gate,3,le colonel dauvellec,,
1877_Fleuriot-Zenaide_Un-enfant-gate.book --- alfred,1877_Fleuriot-Zenaide_Un-enfant-gate,4,alfred,,
1905_Toulet-Paul-Jean_Mon-amie-Nane.book --- nane,1905_Toulet-Paul-Jean_Mon-amie-Nane,0,nane,,
1905_Toulet-Paul-Jean_Mon-amie-Nane.book --- m. le marigo,1905_Toulet-Paul-Jean_Mon-amie-Nane,1,m. le marigo,,
1905_Toulet-Paul-Jean_Mon-amie-Nane.book --- jacques,1905_Toulet-Paul-Jean_Mon-amie-Nane,2,jacques,,
1905_Toulet-Paul-Jean_Mon-amie-Nane.book --- primavérile de ver,1905_Toulet-Paul-Jean_Mon-amie-Nane,3,primavérile de ver,,
1905_Toulet-Paul-Jean_Mon-amie-Nane.book --- dieudonné,1905_Toulet-Paul-Jean_Mon-amie-Nane,4,dieudonné,,
1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete.book --- suzanne,1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete,0,suzanne,,
1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete.book --- nicolas,1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete,1,nicolas,,
1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete.book --- henri,1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete,2,henri,,
1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete.book --- m. rouzerolle,1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete,3,m. rouzerolle,,
1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete.book --- mariette,1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete,4,mariette,,
1885_Malot-Hector_Romain-Kalbris.book --- romain,1885_Malot-Hector_Romain-Kalbris,0,romain,,
1885_Malot-Hector_Romain-Kalbris.book --- diélette,1885_Malot-Hector_Romain-Kalbris,1,diélette,,
1885_Malot-Hector_Romain-Kalbris.book --- m. de bihorel,1885_Malot-Hector_Romain-Kalbris,2,m. de bihorel,,
1885_Malot-Hector_Romain-Kalbris.book --- lapolade,1885_Malot-Hector_Romain-Kalbris,3,lapolade,,
1885_Malot-Hector_Romain-Kalbris.book --- samedi,1885_Malot-Hector_Romain-Kalbris,4,samedi,,
1864_Ribelle-Charles-de_Les-Confidences-de-Gribouille.book --- gribouille,1864_Ribelle-Charles-de_Les-Confidences-de-Gribouille,0,gribouille,,
1864_Ribelle-Charles-de_Les-Confidences-de-Gribouille.book --- la mère michel,1864_Ribelle-Charles-de_Les-Confidences-de-Gribouille,1,la mère michel,,
1864_Ribelle-Charles-de_Les-Confidences-de-Gribouille.book --- le père thomas,1864_Ribelle-Charles-de_Les-Confidences-de-Gribouille,2,le père thomas,,
1864_Ribelle-Charles-de_Les-Confidences-de-Gribouille.book --- biribi,1864_Ribelle-Charles-de_Les-Confidences-de-Gribouille,3,biribi,,
1864_Ribelle-Charles-de_Les-Confidences-de-Gribouille.book --- jean gribouille,1864_Ribelle-Charles-de_Les-Confidences-de-Gribouille,4,jean gribouille,,
1892_Stolz-Madame-de_La-famille-Coquelicot.book --- m. ildefonse,1892_Stolz-Madame-de_La-famille-Coquelicot,0,m. ildefonse,,
1892_Stolz-Madame-de_La-famille-Coquelicot.book --- fernand,1892_Stolz-Madame-de_La-famille-Coquelicot,1,fernand,,
1892_Stolz-Madame-de_La-famille-Coquelicot.book --- m. corbin,1892_Stolz-Madame-de_La-famille-Coquelicot,2,m. corbin,,
1892_Stolz-Madame-de_La-famille-Coquelicot.book --- m. coquelicot,1892_Stolz-Madame-de_La-famille-Coquelicot,3,m. coquelicot,,
1892_Stolz-Madame-de_La-famille-Coquelicot.book --- marie-thérèse,1892_Stolz-Madame-de_La-famille-Coquelicot,4,marie-thérèse,,
1881_Martignat-Mlle-de_Ginette.book --- ginette,1881_Martignat-Mlle-de_Ginette,0,ginette,,
1881_Martignat-Mlle-de_Ginette.book --- aurore,1881_Martignat-Mlle-de_Ginette,1,aurore,,
1881_Martignat-Mlle-de_Ginette.book --- sir leslie,1881_Martignat-Mlle-de_Ginette,2,sir leslie,,
1881_Martignat-Mlle-de_Ginette.book --- geneviève,1881_Martignat-Mlle-de_Ginette,3,geneviève,,
1881_Martignat-Mlle-de_Ginette.book --- miss barbara,1881_Martignat-Mlle-de_Ginette,4,miss barbara,,
1943_Saint-Exupery-Antoine-de_Le-petit-prince.book --- le petit prince,1943_Saint-Exupery-Antoine-de_Le-petit-prince,0,le petit prince,,
1943_Saint-Exupery-Antoine-de_Le-petit-prince.book --- char1,1943_Saint-Exupery-Antoine-de_Le-petit-prince,1,char1,,
1943_Saint-Exupery-Antoine-de_Le-petit-prince.book --- char2,1943_Saint-Exupery-Antoine-de_Le-petit-prince,2,char2,,
1943_Saint-Exupery-Antoine-de_Le-petit-prince.book --- char3,1943_Saint-Exupery-Antoine-de_Le-petit-prince,3,char3,,
