title,text_id,char_id,char_name,type,Gender
1880_Martignat-Mlle-de_L-Oncle-Boni.book --- l' oncle boni,1880_Martignat-Mlle-de_L-Oncle-Boni,2,l' oncle boni,0.0,0.0
1880_Martignat-Mlle-de_L-Oncle-Boni.book --- gabiche,1880_Martignat-Mlle-de_L-Oncle-Boni,3,gabiche,1.0,1.0
1880_Martignat-Mlle-de_L-Oncle-Boni.book --- laplace,1880_Martignat-Mlle-de_L-Oncle-Boni,4,laplace,0.0,0.0
1906_Morin-Louis_Grand-mere-avait-des-defauts-.book --- palmyre,1906_Morin-Louis_Grand-mere-avait-des-defauts-,0,palmyre,1.0,1.0
1906_Morin-Louis_Grand-mere-avait-des-defauts-.book --- trotty,1906_Morin-Louis_Grand-mere-avait-des-defauts-,1,trotty,1.0,0.0
1906_Morin-Louis_Grand-mere-avait-des-defauts-.book --- georgette,1906_Morin-Louis_Grand-mere-avait-des-defauts-,2,georgette,1.0,1.0
1906_Morin-Louis_Grand-mere-avait-des-defauts-.book --- du vieux marquis de saint-père,1906_Morin-Louis_Grand-mere-avait-des-defauts-,3,du vieux marquis de saint-père,0.0,0.0
1906_Morin-Louis_Grand-mere-avait-des-defauts-.book --- mme de vertune,1906_Morin-Louis_Grand-mere-avait-des-defauts-,4,mme de vertune,0.0,1.0
1901_Mael-Pierre_Un-mousse-de-Surcouf.book --- will,1901_Mael-Pierre_Un-mousse-de-Surcouf,0,will,1.0,0.0
1901_Mael-Pierre_Un-mousse-de-Surcouf.book --- clavaillan,1901_Mael-Pierre_Un-mousse-de-Surcouf,1,clavaillan,0.0,0.0
1901_Mael-Pierre_Un-mousse-de-Surcouf.book --- surcouf,1901_Mael-Pierre_Un-mousse-de-Surcouf,2,surcouf,0.0,0.0
1901_Mael-Pierre_Un-mousse-de-Surcouf.book --- guillaume,1901_Mael-Pierre_Un-mousse-de-Surcouf,3,guillaume,1.0,0.0
1901_Mael-Pierre_Un-mousse-de-Surcouf.book --- anne,1901_Mael-Pierre_Un-mousse-de-Surcouf,4,anne,1.0,1.0
1874_Fleuriot-Zenaide_Armelle-Trahec.book --- gunstan,1874_Fleuriot-Zenaide_Armelle-Trahec,0,gunstan,1.0,0.0
1874_Fleuriot-Zenaide_Armelle-Trahec.book --- madame de kerpeulvan,1874_Fleuriot-Zenaide_Armelle-Trahec,1,madame de kerpeulvan,0.0,1.0
1874_Fleuriot-Zenaide_Armelle-Trahec.book --- nola,1874_Fleuriot-Zenaide_Armelle-Trahec,2,nola,1.0,1.0
1874_Fleuriot-Zenaide_Armelle-Trahec.book --- armelle,1874_Fleuriot-Zenaide_Armelle-Trahec,3,armelle,0.0,1.0
1874_Fleuriot-Zenaide_Armelle-Trahec.book --- m. de kerpeulvan,1874_Fleuriot-Zenaide_Armelle-Trahec,4,m. de kerpeulvan,0.0,0.0
1890_Dombre-Roger_Une-pupille-genante.book --- gilberte,1890_Dombre-Roger_Une-pupille-genante,0,gilberte,1.0,1.0
1890_Dombre-Roger_Une-pupille-genante.book --- simiès,1890_Dombre-Roger_Une-pupille-genante,1,simiès,0.0,0.0
1890_Dombre-Roger_Une-pupille-genante.book --- albéric,1890_Dombre-Roger_Une-pupille-genante,2,albéric,1.0,0.0
1890_Dombre-Roger_Une-pupille-genante.book --- mlle mauduit,1890_Dombre-Roger_Une-pupille-genante,3,mlle mauduit,1.0,1.0
1890_Dombre-Roger_Une-pupille-genante.book --- mme daltier,1890_Dombre-Roger_Une-pupille-genante,4,mme daltier,0.0,1.0
1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille.book --- joseph,1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille,0,joseph,1.0,0.0
