;Year;Author;Title;canon;Author gender;Illustrations
;1887;Soboleska Mme;Les Jeunes filles de Quinnebasset;non_canon;female;
;1888;Blandy Stella;L’Oncle Philibert;non_canon;female;Yes
;1888;Gouraud Julie;Quand je serai grande;non_canon;female;Yes
;1888;Stolz Madame de;Violence et bonté;non_canon;female;Yes
;1889;Dombre Roger;Folla;non_canon;female;
;1889;La Brete Jean de;Mon oncle et mon curé;non_canon;female;Yes
;1890;Dombre Roger;La Nounou;non_canon;female;
;1890;Dombre Roger;Une pupille genante;non_canon;female;
;1890;Hameau Louise;Mademoiselle Pourquoi;non_canon;female;Yes (in colors)
;1890;Pitray Olga de Segur;Voyages abracadabrants du gros Phileas;non_canon;female;Yes
;1891;Pitray Olga de Segur;L’Usine et le château;non_canon;female;Yes
;1891;Witt Henriette de;La Petite fille aux grand-mères;non_canon;female;Yes
;1892;Colomb Josephine;Les Conquêtes d’Hermine;non_canon;female;Yes
;1892;Stolz Madame de;La famille Coquelicot;non_canon;female;Yes
;1892;Malot Hector;En Famille;non_canon;male;Yes
;1893;Delorme Marie;Les Filles du clown;non_canon;female;Yes
;1893;Vadier Berthe;Rose et Rosette odyssée d une trop belle poupée;non_canon;female;Yes
;1894;Gautier Judith;Mémoires d’un Éléphant blanc;non_canon;female;Yes (wikisource)
;1895;Mael Pierre;Les Derniers Hommes rouge;non_canon;male;
;1896;Gyp;Bijou;non_canon;female; 
;1896;Soboleska Mme;Siribeddi mémoires d’un éléphant;non_canon;female;Yes
;1897;Gerald Montmeril;Chryseis au désert;non_canon;female;Yes
;1897;Mael Pierre;Au pays du mystère;non_canon;male;Yes
;1897;Margueritte Victor;Victor Poum (aventures d un petit garçon);non_canon;male;Yes
;1899;Colomb Josephine;Chloris et Jeanneton;non_canon;female;Yes
;1900;Chabrier Rieder Charlotte ;Les épreuves de Charlotte;non_canon;female;Yes
;1901;Mael Pierre;Un mousse de Surcouf;non_canon;male;
;1901;Soboleska Mme;Les Bonnes idées de Mlle Rose Les Enfants au ballon élastique;non_canon;female;
;1903;Chabrier Rieder;Les Enfants du Luxembourg;non_canon;female;Yes
;1905;Toulet Paul Jean;Mon amie Nane;non_canon;male;
;1906;Morin Louis;Grand-mère avait des défauts ;non_canon;male;Yes
;1907;Mael Pierre;Le Forban noir;non_canon;male;Yes
;1910;Cim Albert;Le petit Léveillé;non_canon;male;Yes
;1910;Graffigny H de;Le tour de France en aeroplane;non_canon;male;
;1911;Marchal Gustave;Tante Meteore;non_canon;male;Yes
;1925;Robida Albert;Un chalet dans les airs;non_canon;male;Yes
;1926;Mac Orlan;Les clients du Bon Chien Jaune;canon;male;
;1930;Genestoux Magdaleine du;Mademoiselle trouble fete;non_canon;female;
;1943;Saint Exupery Antoine;Le petit prince;canon;male;
;;;Loi du 16 juillet 1949 sur les publications destinées à la jeunesse;;;
